Gde_Nr,Bevölkerung,Arbeitsplätze
3835,788,426.8
3837,192,95.3
3847,1538,859.0
385,992,191.1
3851,11060,6863.0
386,1501,620.8
3861,622,151.0
3862,215,45.5
3863,1168,288.5
387,5071,1306.6
3871,4476,1755.1
388,1250,188.4
3881,221,38.2
3882,860,442.70000000000005
389,53,6.3
3891,1550,293.1
39,919,179.8
390,1311,166.0
3901,34880,24374.800000000003
391,832,133.1
3911,1998,652.2
392,4169,961.5999999999999
3921,3219,2320.8
3926,523,66.4
393,848,438.8
3932,327,102.9
394,592,100.4
3941,1030,286.0
3945,3301,975.5
3946,2491,556.4
3947,3431,834.7
3951,691,123.8
3952,902,187.4
3953,2835,1440.5
3954,2310,693.5
3955,8854,4916.7
3961,2049,965.8
3962,2627,1072.6
3972,1397,436.1
3981,1800,399.4
3982,2098,883.8999999999999
3983,385,110.8
3985,1216,333.9
3986,1285,448.9
3987,1180,431.7
3988,1147,444.20000000000005
4,3571,794.9000000000001
40,1064,211.8
4001,21036,25621.8
4002,1545,202.1
4003,7911,4244.1
4004,708,228.70000000000002
4005,4091,691.4
4006,7624,1978.6
4007,1584,687.5
4008,6081,994.8
4009,3879,1065.7
401,1089,182.2
4010,7743,3229.1000000000004
4012,9990,3888.3
4013,4102,1753.9
402,589,84.0
4021,19222,23176.4
4022,1549,535.1
4023,2751,871.8
4024,2967,840.4000000000001
4026,3415,565.6
4027,5526,1005.7
4028,1035,78.7
4029,5157,1407.9
403,1054,104.4
4030,1981,548.5
4031,1700,291.0
4032,2114,2350.1000000000004
4033,5369,1290.3
4034,8750,2008.6
4035,3747,531.0
4037,4082,576.4
4038,8663,1468.7
4039,2104,398.79999999999995
404,16295,10518.5
4040,11531,6990.200000000001
4041,2203,720.9000000000001
4042,3031,772.5
4044,7224,2360.7
4045,20535,6660.0
4046,1538,236.5
4047,4618,3097.1
4048,6336,1651.6
4049,4775,566.9
405,2010,371.20000000000005
406,3331,827.2
4061,1868,194.2
4062,4663,1195.0
4063,7742,3378.5
4064,1002,166.8
4065,3891,975.4
4066,976,99.10000000000001
4067,1630,273.0
4068,2448,737.3
407,1589,319.1
4071,2037,453.1
4072,2850,1027.4
4073,1978,321.0
4074,2313,324.5
4075,4489,761.4000000000001
4076,2851,504.4
4077,1519,157.10000000000002
4078,460,52.8
4079,1355,185.6
408,206,110.69999999999999
4080,7210,3263.8
4081,3651,635.6
4082,15824,6123.3
4083,4404,841.9
4084,632,48.5
409,2458,693.0
4091,1584,188.89999999999998
4092,4522,2150.5
4093,695,239.0
4094,740,116.9
4095,11204,6547.4
4096,603,155.7
4097,284,51.3
4099,424,47.8
41,469,63.3
410,287,75.9
4100,3491,937.2
4104,3025,1902.1999999999998
4105,344,40.3
4106,388,63.9
4107,1054,120.69999999999999
411,539,81.80000000000001
4110,1069,211.39999999999998
4111,1486,183.0
4112,869,140.89999999999998
4114,1321,1177.7
4117,824,186.0
412,5909,2377.5
4120,1447,489.4
4121,2043,1357.6
4122,1624,185.3
4123,7492,3750.2
4124,1563,230.39999999999998
4125,2219,932.0999999999999
413,2103,670.0
4131,3117,670.2
4132,1186,167.8
4133,1019,258.5
4134,1213,681.0
4135,2111,752.2
4136,1320,174.0
4137,475,89.19999999999999
4138,772,143.2
4139,6066,1519.6
414,2344,406.2
4140,2684,790.1999999999999
4141,8270,2815.8
4142,841,227.5
4143,1176,271.3
4144,4239,1330.4
4145,1575,250.89999999999998
4146,3027,827.2
4147,1319,446.70000000000005
415,1430,1113.3000000000002
416,134,22.0
4161,2255,1120.9
4163,5319,2850.1000000000004
4164,1019,107.80000000000001
4165,3512,533.0
4166,1471,257.20000000000005
4167,957,135.2
4169,2582,733.1
4170,3569,2341.1
4172,911,409.29999999999995
4173,598,92.8
4175,965,237.5
4176,684,177.7
4177,1564,921.4000000000001
4179,906,93.69999999999999
418,2940,942.0
4181,1255,162.39999999999998
4182,1027,223.70000000000002
4183,1116,172.9
4184,1933,560.7
4191,690,53.8
4192,1390,160.7
4193,738,462.7
4194,2188,845.8
4195,1352,323.3
4196,2061,658.8
4197,872,200.10000000000002
4198,1208,330.1
4199,1178,693.2
42,899,361.6
420,2423,824.2
4200,3954,1470.4
4201,9503,7370.5
4202,2885,790.5999999999999
4203,4394,1154.7
4204,4685,1156.1999999999998
4205,2721,1178.7
4206,5388,1730.0
4207,3071,3080.0
4208,3854,874.0
4209,5127,2223.1
421,81,113.8
4210,3160,381.7
422,161,12.5
4221,997,121.6
4222,1413,148.7
4223,2064,460.6
4224,1110,302.20000000000005
4226,616,87.5
4227,617,168.2
4228,2808,1070.9
4229,1037,202.0
423,206,31.0
4230,1210,182.29999999999998
4231,1310,129.2
4232,199,45.2
4233,354,57.5
4234,3491,1284.8
4235,1096,243.60000000000002
4236,7638,4144.0
4237,1575,271.7
4238,790,109.2
4239,4302,1753.7
424,2022,485.20000000000005
4240,2820,504.5
4251,797,109.30000000000001
4252,5572,4666.2
4253,3932,589.6
4254,10913,3364.8999999999996
4255,1392,154.7
4256,1051,103.30000000000001
4257,357,66.5
4258,13337,6106.099999999999
4259,812,108.2
4260,3215,3137.2
4261,1920,755.5999999999999
4262,1079,144.1
4263,2278,422.6
4264,873,159.9
4271,7854,2659.4
4272,284,109.60000000000001
4273,797,97.6
4274,3882,461.3
4275,853,214.0
4276,4336,1127.0
4277,903,290.4
4279,2920,748.7
4280,13511,4275.5
4281,1269,338.70000000000005
4282,8853,3873.9
4283,3740,1347.4
4284,1109,292.20000000000005
4285,4669,1078.1
4286,1359,263.7
4287,1942,475.5
4288,167,18.2
4289,11560,8024.700000000001
43,341,63.6
4301,275,24.3
4302,170,40.8
4303,3942,1304.0
4304,3864,1719.6000000000001
4305,2584,552.2
4306,458,66.8
4307,880,117.19999999999999
4308,414,59.1
4309,3340,900.7
431,1669,536.2
4310,1632,495.5
4311,1283,1017.0999999999999
4312,2680,749.2
4313,2129,872.0
4314,256,107.6
4315,1003,322.40000000000003
4316,740,137.4
4317,309,35.2
4318,1360,227.6
4319,636,135.2
432,480,77.69999999999999
4320,1204,359.09999999999997
4322,358,125.3
4323,4165,2484.0
433,700,164.7
434,1366,560.0
435,542,179.2
437,116,27.400000000000002
438,1211,367.1
44,657,160.3
4401,14340,5085.5
4406,728,188.5
441,905,199.5
4411,4699,1470.5
4416,1244,564.2
442,195,21.2
4421,2604,899.0999999999999
4426,996,372.3
443,5121,2746.0
4431,3065,1114.3
4436,10803,4351.9
444,1922,1340.6
4441,1457,324.8
4446,549,298.0
445,1266,223.0
4451,1858,287.79999999999995
446,4565,1915.6
4461,13346,4661.4
4471,5947,2718.3
4476,3649,1089.6
448,932,843.1
4486,1920,492.5
449,834,108.1
4495,598,190.29999999999998
450,1919,361.4
4501,3535,847.4
4506,3741,1805.0
4511,2281,977.1
4536,1815,593.4
4545,3767,1366.6999999999998
4546,1665,403.0
4551,8865,2835.6000000000004
4561,2749,747.1
4566,25200,15779.6
4571,4225,1091.2
4590,840,159.8
4591,2692,832.2
4601,995,266.6
4606,1196,250.4
4611,1462,276.1
4616,1079,278.1
4621,1260,445.6
4641,2161,576.8
4643,2188,661.4
4646,3308,843.1
4651,326,104.0
4656,1568,468.5
4666,2465,526.0
4671,21560,9120.699999999999
4681,1285,232.7
4683,1686,673.2
4691,3333,2290.2
4696,4524,2996.2
4701,1049,327.9
4711,2520,1004.0999999999999
4716,1177,218.2
4721,2826,787.6
4723,763,181.10000000000002
4724,4309,1367.1
4726,2686,1062.0
4741,1217,355.5
4746,5377,1906.4
4751,2773,794.6
4756,838,218.89999999999998
4761,7738,2800.1
