Gde_Nr,Bevölkerung,Arbeitsplätze
6141,5645,1439.2
6142,174,48.2
615,622,85.0
6151,1324,425.2
6152,8863,2326.6
6153,17573,9176.1
6154,3937,641.3000000000001
6155,905,143.7
6156,4568,676.9
6157,1902,389.4
6158,2594,799.5
6159,4052,1309.1
616,12396,5045.1
617,612,83.0
6172,30,4.8
6173,932,238.4
6177,432,114.7
6181,488,314.7
619,3496,1386.5
6191,622,76.0
6192,293,42.199999999999996
6193,728,109.60000000000001
6194,443,59.8
6195,250,60.2
6197,340,83.5
6198,696,68.6
6199,1936,860.1999999999999
62,19086,30635.6
620,727,226.1
6201,412,101.0
6202,570,145.2
6203,681,243.0
6204,1565,765.4
6205,442,447.5
6211,750,67.6
6212,911,113.69999999999999
6213,1234,570.4
6214,419,67.8
6215,1823,246.09999999999997
6217,4566,1431.1999999999998
6218,1394,203.60000000000002
6219,1881,577.7
622,654,143.2
6220,735,59.2
623,2994,931.8
6232,3466,748.8
6235,1615,396.0
6238,2415,336.79999999999995
6239,566,100.2
6240,4047,1289.6
6241,1354,156.60000000000002
6246,2263,456.70000000000005
6248,16817,8665.2
6249,1251,132.7
6250,1804,113.1
6252,2719,1071.2
6253,10711,3578.6
626,1799,643.5
6261,1219,106.69999999999999
6263,3279,513.4
6265,7532,1132.5
6266,34353,26423.0
6267,611,180.8
627,11473,2978.3999999999996
628,1637,336.7
6281,1308,99.2
6282,201,19.0
6283,300,24.299999999999997
6285,1313,400.5
6286,661,276.9
6287,444,73.4
6288,386,118.89999999999999
6289,366,73.1
629,318,45.6
6290,1636,1203.1
6291,1023,385.3
6292,2265,964.7
6293,1119,275.8
6294,558,47.0
6295,1237,183.39999999999998
6296,471,84.10000000000001
6297,7726,7983.0
6298,1363,348.9
6299,280,27.2
63,2210,249.39999999999998
630,577,157.9
6300,5714,5684.299999999999
632,4233,917.0
64,5600,752.9
6404,5846,2999.7
6407,4732,1097.2
6408,4777,1685.3
6412,5926,1494.1000000000001
6413,1237,150.6
6416,8986,1980.8
6421,38965,20515.7
6422,205,36.7
6423,958,266.8
6431,1041,672.7
6432,632,230.79999999999998
6433,268,87.5
6434,329,88.30000000000001
6435,499,76.3
6436,10433,6887.6
6437,1294,381.2
6451,1594,696.4
6452,1921,990.6
6453,274,29.5
6454,2639,482.29999999999995
6455,4559,941.0999999999999
6456,965,198.60000000000002
6458,33772,23952.5
6459,3232,1090.0
6461,4967,3785.7
6485,506,81.3
6487,16832,5478.5
65,1069,160.8
6504,454,238.8
6511,706,164.29999999999998
6512,10950,4381.7
66,19599,15666.800000000001
6601,1163,316.79999999999995
6602,2495,280.1
6603,1761,140.8
6604,1405,141.5
6605,2244,401.7
6606,3348,1082.4
6607,10045,2043.4
6608,21868,20705.1
6609,894,240.3
661,49,10.3
6610,766,68.7
6611,1647,95.9
6612,11489,3746.5
6613,8559,2380.4
6614,1115,106.3
6615,1671,151.10000000000002
6616,8067,3311.8999999999996
6617,5461,1604.6000000000001
6618,4587,760.5
6619,2029,249.7
662,1262,278.4
6620,1782,494.5
6621,198979,146620.1
6622,2721,698.9000000000001
6623,12075,9796.0
6624,483,77.2
6625,1014,129.8
6626,1264,281.20000000000005
6627,654,80.0
6628,31661,16515.9
6629,2146,679.7
663,1218,431.3
6630,23044,18808.6
6631,18825,3475.0
6632,3028,1450.3000000000002
6633,10571,12878.599999999999
6634,3794,552.0
6635,649,155.20000000000002
6636,2345,925.5
6637,540,105.6
6638,4102,7919.699999999999
6639,767,119.5
664,309,120.9
6640,13906,4939.0
6641,2274,441.8
6642,2521,401.20000000000005
6643,34983,16635.3
6644,13247,3544.5
6645,11535,1749.0
665,247,71.5
666,421,61.6
667,3125,907.6
668,2843,1040.1
669,495,174.4
67,4400,1097.8000000000002
670,5436,1406.8
6702,916,325.59999999999997
6703,267,69.6
6704,483,47.2
6706,444,111.7
6708,2882,581.3
6709,3256,622.5
671,372,52.7
6710,2547,715.9000000000001
6711,12562,10111.7
6712,1408,464.7
6713,112,19.0
6715,490,39.0
6716,112,11.1
6718,391,52.0
6719,344,65.69999999999999
6720,379,103.80000000000001
6721,653,146.2
6722,249,63.99999999999999
6724,462,89.8
6729,6908,2516.6
6730,3106,633.7
6741,314,78.6
6742,1219,392.9
6743,1511,918.2
6744,100,19.0
6745,142,24.0
6748,502,332.0
6750,669,155.2
6751,629,142.2
6753,504,136.8
6754,1845,1534.4
6757,2556,1310.7
6758,228,49.1
6759,134,33.5
6771,1817,976.1
6773,127,23.6
6774,1205,1348.9
6775,665,284.1
6778,685,201.1
6781,732,101.8
6782,1050,363.9
6783,293,129.6
6784,2295,772.4
6785,761,193.89999999999998
6787,178,31.4
6789,365,101.5
6790,1686,160.7
6792,397,70.89999999999999
6793,182,36.5
68,2814,416.4
6800,6876,4866.3
6806,557,186.9
6807,1225,325.8
6808,1321,454.1
6809,1098,576.9
681,302,64.8
6810,1212,304.0
683,159,15.1
687,203,45.0
69,15934,16823.6
690,1408,555.5
691,532,195.2
692,389,104.7
694,387,43.3
696,326,161.4
7,2168,384.2
70,562,50.3
700,7586,3040.2
701,450,52.9
703,2347,663.8
704,210,35.5
706,616,279.5
707,157,12.3
708,37,15.6
709,65,25.1
71,1372,377.0
711,285,46.3
713,3597,1147.5
715,43,14.0
716,410,122.70000000000002
717,4032,1406.6
72,4391,673.5
723,3693,1172.5
724,740,106.1
726,2050,274.7
731,2011,261.6
732,1619,207.2
733,4283,2465.9
734,438,49.0
735,326,50.400000000000006
736,413,47.9
737,312,49.8
738,676,78.0
739,4015,562.5
740,550,104.7
741,405,25.5
742,858,100.0
743,6891,2340.7
744,2727,529.0999999999999
745,3532,786.4000000000001
746,1912,442.0
747,451,97.9
748,673,118.8
749,3256,1377.8
750,1390,429.2
751,2805,886.6999999999999
754,981,180.8
755,2259,600.1
756,1154,257.4
761,851,222.0
762,2175,886.1999999999999
763,1718,483.70000000000005
766,799,221.70000000000002
767,988,166.5
768,12713,4258.200000000001
769,2463,998.5
770,992,121.2
782,267,132.3
783,1193,666.5
784,1087,472.09999999999997
785,4692,2054.8
786,585,442.40000000000003
791,1294,327.8
792,2358,1280.9
793,1325,491.8
794,3035,1305.2
8,626,107.1
81,605,189.0
82,1327,209.79999999999998
83,6359,1951.1999999999998
84,4080,2258.7
841,981,278.4
842,835,255.8
843,6882,5249.9
85,1884,376.1
852,1586,359.90000000000003
853,1617,282.9
855,6887,2406.5
86,5992,3179.1000000000004
861,11534,3936.8
863,1070,284.1
866,1193,198.5
867,855,97.4
868,270,72.6
869,1066,104.9
87,920,83.30000000000001
870,4258,706.0
872,1812,219.8
873,280,45.6
874,229,31.3
876,1385,224.7
877,474,93.2
879,2456,1216.3
88,3128,445.6
880,1819,425.79999999999995
881,434,83.1
883,2194,467.6
884,2553,361.3
885,1959,181.2
886,2869,752.7
888,1183,466.29999999999995
89,4914,1078.1999999999998
9,4861,1142.3
90,9195,1769.6000000000001
901,2458,895.3
902,9241,4438.3
903,2604,1013.4
904,1183,369.1
905,2369,591.8
906,909,375.3
907,2737,716.5999999999999
908,1350,429.0
909,1448,759.6999999999999
91,2930,606.2
92,6981,1371.4
921,802,89.9
922,1209,259.7
923,1544,337.7
924,492,105.10000000000001
925,802,123.5
927,691,414.2
928,6691,1815.1
929,4077,629.1
93,1786,215.39999999999998
931,511,95.6
932,236,69.9
934,2423,523.0
935,475,181.2
936,257,32.4
937,247,34.7
938,4759,1305.1
939,15783,4787.7
94,2837,1971.2
940,156,48.1
941,2426,301.4
942,43568,21338.2
943,667,115.10000000000001
944,6006,2597.8999999999996
945,973,236.0
946,233,50.5
947,319,62.2
948,781,120.7
95,472,144.8
951,1133,369.4
952,1061,250.3
953,1407,290.5
954,4835,2362.7000000000003
955,4092,1201.1
956,3202,982.5
957,5021,2164.7
958,971,220.6
959,546,135.4
96,18191,8653.5
960,1146,389.29999999999995
97,8026,5129.5
971,1428,234.39999999999998
972,43,27.9
973,645,81.50000000000001
975,208,37.6
976,335,40.9
977,1099,120.10000000000001
979,6998,2909.3
98,726,87.0
980,617,89.1
981,4647,2328.3
982,1694,719.6999999999999
983,1701,660.5
985,561,108.7
987,479,46.5
988,1573,321.6
989,1117,261.4
99,1394,249.1
990,211,57.0
991,594,74.8
992,2305,934.8000000000001
993,426,79.7
995,2325,891.9
996,184,24.200000000000003
